,SALDO INICIAL 2011,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ANDINO  LLEGO  22.02.10,,,,,,PRODUCCION DICIEMBRE -2009   05  UNIDADES  (2do. PARCIAL)   INDONESIA,,,,,,,,,,,,,,,
,B/L  NYKS940004138,,,,,,,,,,,,,,,,,,,,,
,C2WE-09-2407-112L-02,,17.12.09,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
2,MEC,,NB,TERIOS LONG,46628,3951,MHKG2CN20AK000414,,3SZ DBK8392,ROJO VINO,,,,,,,,,,,,
3,AUTOM,,NE,TERIOS LONG,46556,3952,MHKG2CP20AK000288,W,3SZ DBK6740,NEGRO,,,,,,,,,,,,
4,AUTOM,,NE,TERIOS LONG,46560,3953,MHKG2CP20AK000289,,3SZ DBK4693,ROJO VINO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ANDINO  LLEGO  22.02.10,,,,,,PRODUCCION ENERO -2010   06 UNIDADES  (1ER. PARCIAL)   INDONESIA,,,,,,,,,,,,,,,
,B/L  NYKS940004139,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-101L-01,,14.01.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
5,MEC,,NB,TERIOS LONG,46591,3959,MHKG2CN20AK000421,,3SZ DBL3474,PLATA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ZEUS LEADER  LLEGO  22.03.10,,,,,,PRODUCCION ENERO -2010   04 UNIDADES  (2DO. PARCIAL)   INDONESIA,,,,,,,,,,,,,,,
,B/L  KKLUJKT224362,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-101L-02,,12.02.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
2,MEC,,NB,TERIOS LONG,78943,4608,MHKG2CN20AK000426,,3SZ DBL3570,BEIGE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CSAV RIO GREY LLEGO  21.04.10,,,,,,PRODUCCION FEBRERO -2010   16 UNIDADES  (2DO. PARCIAL)   INDONESIA,,,,,,,,,,,,,,,
,B/L  NYKS940004250,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-102L-02,,11.03.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
10,AUTOMAT,,NE,TERIOS LONG,114477,8493,MHKG2CP20AK000292,,3SZ DBL9933,ROJO VINO,,,,,,,,,,,,
11,AUTOMAT,,NE,TERIOS LONG,114478,8494,MHKG2CP20AK000293,,3SZ DBM3356,PLATA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CSAV RIO GREY LLEGO  21.04.10,,,,,,PRODUCCION MARZO -2010   10 UNIDADES  INDONESIA,,,,,,,,,,,,,,,
,B/L  NYKS940004251,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-103L-01,,11.03.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
6,MECAN,,NB,TERIOS LONG,114481,6803,MHKG2CN20AK000445,,3SZ DBM7900,NEGRO,,,,,,,,,,,,
10,MECAN,,NB,TERIOS LONG,114501,6807,MHKG2CN20AK000449,,3SZ DBM8332,PLATA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CENTAURUS LEADER  LLEGO:  V23.06.10,,,,,,PRODUCCION ABRIL -2010   10 UNIDADES  INDONESIA ,,,,,,,,,,,,,,,
,B/L  NYKS940004371,,,,,,,,,,,,,,,,,,,,,
,C2WE-102407-104L-01,,14.05.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
5,LUXURY,,RA,TERIOS LONG,185622,13320,MHKG2CP40AK002549,,3SZ DBN8344,ROJO VINO,,,,,,,,,,,,
9,LUXURY,,RA,TERIOS LONG,185630,13324,MHKG2CP40AK002559,,3SZ DBN7835,ROJO VINO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, INTERBANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CENTAURUS LEADER  LLEGO:  23.06.10,,,,,,PRODUCCION MAYO-2010   14 UNIDADES  JAPON ,,,,,,,,,,,,,,,
