Modelo,Chasis,Color,Fab
Alloy 4x2 MT,JDAJ200G0F3008534,GRIS,2015
Alloy 4x2 MT,JDAJ200G0G3009274,BEIGE,2015
Alloy 4x2 MT,JDAJ200G0G3009275,GUINDA,2015
Alloy 4x2 MT,JDAJ200G0G3009279,GUINDA,2015
Alloy 4x2 MT,JDAJ200G0G3009281,PLATA,2015
Alloy 4x2 MT,JDAJ200G0G3009285,BLANCO,2015
Alloy 4x2 MT,JDAJ200G0G3009293,NEGRO,2015
Alloy 4x2 MT,JDAJ200G0G3009295,MARRON BRONCE,2015
Alloy 4x2 MT,JDAJ200G0G3009300,MARRON BRONCE,2015
Alloy 4x2 MT,JDAJ200G0G3009303,GRIS,2015
Long 4x2 AT LUXURY,MHKG2CP40EK005177,PLATA,2014
Long 4x2 AT LUXURY,MHKG2CP40EK005194,BEIGE,2014
Long 4x2 AT LUXURY,MHKG2CP40EK005211,BLANCO,2014
Long 4x2 AT LUXURY,MHKG2CP40FK005310,BEIGE,2014
Long 4x2 AT LUXURY,MHKG2CP40FK005402,PLATA,2014
Long 4x2 AT LUXURY,MHKG2CP40FK005406,BEIGE,2014
Long 4x2 AT LUXURY,MHKG2CP40FK005408,BLANCO,2014
Long 4x2 MT Up Grade,MHKG2CN20FK001541,GUINDA,2015
Long 4x2 MT Up Grade,MHKG2CN20FK001542,PLATA,2015
Long 4x2 MT Up Grade,MHKG2CN20FK001543,NEGRO,2015
Long 4x2 MT Up Grade,MHKG2CN20FK001544,BEIGE,2015
Long 4x2 MT Up Grade,MHKG2CN20FK001545,GUINDA,2015
Long 4x2 MT Up Grade,MHKG2CN20FK001546,GRIS,2015
Long 4x2 MT Up Grade,MHKG2CN20FK001547,BLANCO,2015
Basic 4x2 AT,JDAJ200G0F3008721,PLATA,2015
Basic 4x2 AT,JDAJ200G0G3009278,BLANCO,2015
Basic 4x2 AT,JDAJ200G0G3009280,PLATA,2015
Basic 4x2 AT,JDAJ200G0G3009287,GUINDA,2015
F68-BR,LVBVGJEA1FN045133,BLANCO,2015
F68-BR,LVBVGJEA3FN045134,BLANCO,2015
F68-BR,LVBVGJEA9FN045137,AZUL,2015
B40,LHBPA1URXFK205134,ROJO,2014
B40,LHBPA1UR1FK205328,BLANCO,2015
B40,LHBPA1UR8FK205326,BLANCO,2015
B30,LHBP41TR0FK205300,ROJO,2015
B30,LHBP41TR5FK205311,BLANCO,2015
F110-BR,LVBVKPFK5EN045563,BLANCO,2014
F110-BR,LVBVLPFK8EN045912,BLANCO,2014
FD135,LVBDLPHA3EN045753,ROJO,2014
FD135,LVBDLPHA5FN020127,ROJO,2015
FD40,LVBDEJEA8FN030095,BLANCO,2015
FD40,LVBDEJEA9FN030106,AZUL,2015
F80-BR,LVBVFPEG7FN020103,BLANCO,2014
