Chasis,Modelo,Color,Fab
LBZF46EA8CA000020,BEIBEN,ANARANJADO,2012
LVBV6PEB9DN029998,FD150,ROJO,2013
LHBM3HTE6EN605046,Destroyer 4x2,VERDE,2014
LVBVKPFK5EN045563,F110-BR,BLANCO,2014
LVBVKPEK6EN045508,F123,ROJO,2014
MHKG2CP40EK005177,Long 4x2 AT LUXURY,PLATA,2014
MHKG2CP40EK005194,Long 4x2 AT LUXURY,BEIGE,2014
MHKG2CP40EK005211,Long 4x2 AT LUXURY,BLANCO,2014
LVBDLPHD3EN045648,FD130,AZUL,2014
LVBVLPFKXEN045796,F110,AZUL,2014
MHKG2CP40FK005310,Long 4x2 AT LUXURY,BEIGE,2014
LVBVLPFK8EN045912,F110-BR,BLANCO,2014
MHKG2CP40FK005402,Long 4x2 AT LUXURY,PLATA,2014
MHKG2CP40FK005406,Long 4x2 AT LUXURY,BEIGE,2014
MHKG2CP40FK005408,Long 4x2 AT LUXURY,BLANCO,2014
LVBDLPHA3EN045753,FD135,ROJO,2014
LHBPFPUS4FK205072,B100,BLANCO,2014
LVBVFPEG7FN020103,F80-BR,BLANCO,2014
LHBPAPUR1FK205154,B41,BLANCO,2014
JDAJ200G0F3008534,Alloy 4x2 MT,GRIS,2015
LHBPA1URXFK205134,B40,ROJO,2014
LS4A773T1EG002368,METROGAS 7,BLANCO CON ROJO,2014
JDAJ200G0F3008721,Basic 4x2 AT,PLATA,2015
LVBVFPEG9FN020099,F80-BR,BLANCO,2015
LVBDEJEA8FN030095,FD40,BLANCO,2015
LVBDFPEA3FN045121,FD65,ROJO,2015
LHBP41TR0FK205300,B30,ROJO,2015
LHBP41TR5FK205311,B30,BLANCO,2015
LHBPA1UR1FK205328,B40,BLANCO,2015
LHBPA1UR8FK205326,B40,BLANCO,2015
LHBPA1UR9FK205335,B40-CB,BLANCO,2015
LHBPD1US7FK205344,B50,BLANCO,2015
LVBVGJEA1FN045133,F68-BR,BLANCO,2015
LVBVGJEA3FN045134,F68-BR,BLANCO,2015
LVBVGJEA9FN045137,F68-BR,AZUL,2015
LVBDEJEA9FN030106,FD40,AZUL,2015
MHKG2CN20FK001541,Long 4x2 MT Up Grade,GUINDA,2015
MHKG2CN20FK001542,Long 4x2 MT Up Grade,PLATA,2015
MHKG2CN20FK001543,Long 4x2 MT Up Grade,NEGRO,2015
MHKG2CN20FK001544,Long 4x2 MT Up Grade,BEIGE,2015
MHKG2CN20FK001545,Long 4x2 MT Up Grade,GUINDA,2015
MHKG2CN20FK001546,Long 4x2 MT Up Grade,GRIS,2015
MHKG2CN20FK001547,Long 4x2 MT Up Grade,BLANCO,2015
JDAJ200G0G3009274,Alloy 4x2 MT,BEIGE,2015
JDAJ200G0G3009275,Alloy 4x2 MT,GUINDA,2015
JDAJ200G0G3009279,Alloy 4x2 MT,GUINDA,2015
JDAJ200G0G3009281,Alloy 4x2 MT,PLATA,2015
JDAJ200G0G3009285,Alloy 4x2 MT,BLANCO,2015
JDAJ200G0G3009293,Alloy 4x2 MT,NEGRO,2015
JDAJ200G0G3009295,Alloy 4x2 MT,MARRON BRONCE,2015
JDAJ200G0G3009300,Alloy 4x2 MT,MARRON BRONCE,2015
JDAJ200G0G3009303,Alloy 4x2 MT,GRIS,2015
JDAJ200G0G3009278,Basic 4x2 AT,BLANCO,2015
JDAJ200G0G3009280,Basic 4x2 AT,PLATA,2015
JDAJ200G0G3009287,Basic 4x2 AT,GUINDA,2015
LVBDLPHA5FN020127,FD135,ROJO,2015
LPBMBDTE8FJ505662,COMMUTER IS,BLANCO,2015
LHBPA1UR4DN207280,B40,BLANCO,2013
LBZF46EA5CA000024,BEIBEN,BLANCO,2012
LVBDLPHD8EN029977,FD130,ROJO,2014
LHBM3HTE8EN605050,Destroyer 4x2,VERDE,2014
LVBVKPEK9EN045521,F123,PLATA,2014
