,CDO. MODELO,MARCA,VERSION,SPEC,TRANSMISION,MODELO,POLIZA,# ORD.,CHASIS,MOTOR,COLOR,FAB,MOD,FC,Lugar,,,,
1,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,562025,18001,MHKG2CN20EK001094,3SZ DDZ5470,MARRON PARDO,2013,2014,22.12.13,INDONESIA,,,,
2,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,562028,18002,MHKG2CN20EK001095,3SZ DEA1814,BEIGE,2013,2014,22.12.13,INDONESIA,,,,
3,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,562030,18003,MHKG2CN20EK001098,3SZ DDZ8517,BLANCO,2013,2014,22.12.13,INDONESIA,,,,
4,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,562031,18004,MHKG2CN20EK001100,3SZ DEA9907,PLATA,2013,2014,22.12.13,INDONESIA,,,,
5,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,562034,18005,MHKG2CP40EK004715,3SZ DDU7913,PLATA,2013,2014,22.12.13,INDONESIA,,,,
6,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,562035,18006,MHKG2CP40EK004717,3SZ DDZ6231,BEIGE,2013,2014,22.12.13,INDONESIA,,,,
7,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,562037,18007,MHKG2CP40EK004718,3SZ DEA7305,BLANCO,2013,2014,22.12.13,INDONESIA,,,,
8,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,562039,18008,MHKG2CP40EK004719,3SZ DDX8478,NEGRO,2013,2014,22.12.13,INDONESIA,,,,
1,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,86518,003181,MHKG2CN20EK001125,3SZ DEE7905,BLANCO,2014,2014,11.03.14,INDONESIA,,,,
2,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,86517,003182,MHKG2CN20EK001133,3SZ DEF0211,MARRON PARDO,2014,2014,11.03.14,INDONESIA,,,,
3,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,86525,003183,MHKG2CN20EK001136,3SZ DEF0811,BLANCO,2014,2014,11.03.14,INDONESIA,,,,
4,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,86520,003184,MHKG2CP40EK004835,3SZ DDX9366,MARRON PARDO,2014,2014,11.03.14,INDONESIA,,,,
5,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,86619,003185,MHKG2CP40EK004840,3SZ DEE7903,PLATA,2014,2014,11.03.14,INDONESIA,,,,
6,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,86521,003186,MHKG2CP40EK004841,3SZ DEE8806,BEIGE,2014,2014,11.03.14,INDONESIA,,,,
7,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,86536,003187,MHKG2CP40EK004844,3SZ DEE6557,BLANCO,2014,2014,11.03.14,INDONESIA,,,,
8,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,86524,003188,MHKG2CP40EK004847,3SZ DED6593,NEGRO,2014,2014,11.03.14,INDONESIA,,,,
9,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,86493,003189,MHKG2CP40EK004851,3SZ DEF0214,GRIS,2014,2014,11.03.14,INDONESIA,,,,
10,F700LG-GQGF,Daihatsu,LUXURY,ZR,AUTOMATICA,TERIOS LONG,86500,003190,MHKG2CP40EK004855,3SZ DDY4910,MARRON PARDO,2014,2014,11.03.14,INDONESIA,,,,
1,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001135,3SZ DEF1147,BEIGE,2014,2014,,INDONESIA,,,,
2,F700LG-GMDF,Daihatsu,ZQ,ZQ,MECANICA,TERIOS LONG ZQ,,,MHKG2CN20EK001138,3SZ DEF2060,NEGRO,2014,2014,,INDONESIA,,,,
