,CDO. MODELO,MARCA,VERSION,SPEC,TRANSMISION,MODELO,POLIZA,# ORD.,CHASIS,MOTOR,COLOR,FAB,MOD,FC,Lugar
11,F700LG-GQGF,,LUXURY,ZR,AUTOMATICA,TERIOS LONG,412476,014861,MHKG2CP40FK005356,3SZ DET2121,BEIGE,2014,2015,08.09.14,INDONESIA
12,F700LG-GQGF,,LUXURY,ZR,AUTOMATICA,TERIOS LONG,412464,014862,MHKG2CP40FK005362,3SZ DET6579,GRIS,2014,2015,08.09.14,INDONESIA
13,F700LG-GQGF,,LUXURY,ZR,AUTOMATICA,TERIOS LONG,412472,014863,MHKG2CP40FK005365,3SZ DET6575,BLANCO,2014,2015,08.09.14,INDONESIA
14,F700LG-GQGF,,LUXURY,ZR,AUTOMATICA,TERIOS LONG,412481,014864,MHKG2CP40FK005370,3SZ DET7494,NEGRO,2014,2015,08.09.14,INDONESIA
1,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459603,016241,JDAJ210G0F3009876,3SZ2883677,MARRON BRONCE,2014,2015,27.10.14,JAPON
2,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459610,016242,JDAJ210G0F3009886,3SZ2883714,MARRON BRONCE,2014,2015,27.10.14,JAPON
3,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459625,016243,JDAJ210G0F3009890,3SZ2883711,MARRON BRONCE,2014,2015,27.10.14,JAPON
4,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459569,016244,JDAJ210G0F3009898,3SZ2883713,GUINDA,2014,2015,27.10.14,JAPON
5,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459594,016245,JDAJ210G0F3009914,3SZ2875929,GUINDA,2014,2015,27.10.14,JAPON
6,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459614,016246,JDAJ210G0F3009922,3SZ2881825,PLATA,2014,2015,27.10.14,JAPON
7,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459627,016247,JDAJ210G0F3009941,3SZ2879938,PLATA,2014,2015,27.10.14,JAPON
8,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459541,016248,JDAJ210G0F3009957,3SZ2884137,PLATA,2014,2015,27.10.14,JAPON
9,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459561,016249,JDAJ210G0F3009974,3SZ2885170,GRIS,2014,2015,27.10.14,JAPON
10,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459587,016250,JDAJ210G0F3009983,3SZ2885223,GRIS,2014,2015,27.10.14,JAPON
11,J210LG-GQDF2,,SAFETY,TYH07,AUTOMATICA,TERIOS,459611,016251,JDAJ210G0F3009994,3SZ2885104,GRIS,2014,2015,27.10.14,JAPON
