0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,AG. ADUANA ADUAMERICA (NUEVO MODELO TERIOS),,,,,,            PRODUCCION JUNIO 06     09 UNIDADES  (ADUAMERICA),,,,
,,,,VP. GUANGZHOU HIGHWAY,,,,,,,,,,
,,,,B/L 3KB302448,,,,,,,,,,
,,,,VERSION,,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,TRANSM.,,,,,,,,,,TALLER
,,,1,TOP MEC,1,Cmta-Rural,TERIOS 4X4,126977,250034,JDAJ210G071011078,,1633912,NEGRO,27.07.06
,,,2,TOP MEC,1,Cmta-Rural,TERIOS 4X4,126989,250035,JDAJ210G071011072,,1633079,GRIS,27.07.06
,,,3,TOP MEC,1,Cmta-Rural,TERIOS 4X4,127005,250036,JDAJ210G071011212,,1636051,PLATA,27.07.06
,,,4,TOP MEC,1,Cmta-Rural,TERIOS 4X4,127011,250037,JDAJ210G071011411,,1636906,ROJO,27.07.06
,,,5,SAFETY- MEC,1,Cmta-Rural,TERIOS 4X4,127021,250038,JDAJ210G071011022,,1633913,PLATA,27.07.06
,,,6,TOP AUT.,1,Cmta-Rural,TERIOS 4X4,127036,250039,JDAJ210G071011547,,1638983,ROJO,27.07.06
,,,7,TOP AUT.,1,Cmta-Rural,TERIOS 4X4,127043,250040,JDAJ210G071011703,,1640540,PLATA,27.07.06
,,,8,SAFETY- AUT.,1,Cmta-Rural,TERIOS 4X4,127047,250041,JDAJ210G071011748,,1640648,PLATA,27.07.06
,,,9,SAFETY- AUT.,1,Cmta-Rural,TERIOS 4X4,127055,250042,JDAJ210G071011894,,1641912,NEGRO,27.07.06
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VP. GRAND PAVO  LLEGO 22.08.06,,,,,,            PRODUCCION JULIO 15    UNIDADES  (ADUAMERICA),,,,
,,,,B/L KKLUCV0144660,,,,,,,,,,
,,,,,,,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,,,,,,,,,,,
,,,1,TOP AUTO.,1,Cmta-Rural,TERIOS,142181,150043,JDAJ210G071011969, ,1643172,NEGRO,23.08.06
,,,2,MECANICA,1,Camion,DELTA,142179,150044,JDA00V11670022378,,1802360,BLANCO,23.08.06
,,,3,MECANICA,1,Camion,DELTA,142173,150045,JDA00V11670022397,,1802567,BLANCO,23.08.06
